Run,Argument_Index,Ground_Truth_Score,Ground_Truth_Binary,Predicted_Label,Predicted_Binary,Error,Normalized_Error,Error_Type
1,2,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
1,3,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
1,4,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,7,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,8,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,10,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,17,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
1,18,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,20,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
1,21,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,23,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,24,1.5,0,Good,1,-3.5,0.7854077253218884,good_to_bad
1,30,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,33,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,40,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,51,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,54,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,56,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,57,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,58,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
1,62,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,65,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,71,2.5,0,Good,1,-2.5,0.3562231759656653,good_to_bad
1,73,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
1,74,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
