Run,Argument_Index,Ground_Truth_Score,Ground_Truth_Binary,Predicted_Label,Predicted_Binary,Error,Normalized_Error,Error_Type
1,0,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
1,2,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
1,3,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
1,7,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,8,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,16,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,17,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
1,18,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,20,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
1,23,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,24,2.0,0,Good,1,-3.0,0.5708154506437768,good_to_bad
1,25,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
1,33,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,36,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,37,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,39,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
1,40,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,42,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,44,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,45,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,50,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
1,51,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,52,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,54,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
